Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
"kin-emon-op02-025","Kin'emon · Leader (OP02-025)","<p><strong>Kin'emon</strong> — Leader from OP-02 Paramount War (OP02-025).</p><p>Color: Green · Power 5000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Leader, OP-02 Paramount War",TRUE,"Title","Default Title","HC-OP02-025",1,"shopify",5,"deny","manual",12.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP02-025.png?260715","Kin'emon Leader card","active"
"sanji-op02-026","Sanji · Leader (OP02-026)","<p><strong>Sanji</strong> — Leader from OP-02 Paramount War (OP02-026).</p><p>Color: Green/Blue · Power 5000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Leader, OP-02 Paramount War",TRUE,"Title","Default Title","HC-OP02-026",1,"shopify",5,"deny","manual",12.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP02-026.png?260715","Sanji Leader card","active"
"emporio-ivankov-op02-049","Emporio.Ivankov · Leader (OP02-049)","<p><strong>Emporio.Ivankov</strong> — Leader from OP-02 Paramount War (OP02-049).</p><p>Color: Blue · Power 5000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Leader, OP-02 Paramount War",TRUE,"Title","Default Title","HC-OP02-049",1,"shopify",5,"deny","manual",12.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP02-049.png?260715","Emporio.Ivankov Leader card","active"
"magellan-op02-071","Magellan · Leader (OP02-071)","<p><strong>Magellan</strong> — Leader from OP-02 Paramount War (OP02-071).</p><p>Color: Purple · Power 5000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Leader, OP-02 Paramount War",TRUE,"Title","Default Title","HC-OP02-071",1,"shopify",5,"deny","manual",12.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP02-071.png?260715","Magellan Leader card","active"
"zephyr-op02-072","Zephyr · Leader (OP02-072)","<p><strong>Zephyr</strong> — Leader from OP-02 Paramount War (OP02-072).</p><p>Color: Purple/Black · Power 5000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Leader, OP-02 Paramount War",TRUE,"Title","Default Title","HC-OP02-072",1,"shopify",5,"deny","manual",12.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP02-072.png?260715","Zephyr Leader card","active"
"smoker-op02-093","Smoker · Leader (OP02-093)","<p><strong>Smoker</strong> — Leader from OP-02 Paramount War (OP02-093).</p><p>Color: Black · Power 5000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Leader, OP-02 Paramount War",TRUE,"Title","Default Title","HC-OP02-093",1,"shopify",5,"deny","manual",12.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP02-093.png?260715","Smoker Leader card","active"
"edward-newgate-op02-004","Edward.Newgate · Super Rare (OP02-004)","<p><strong>Edward.Newgate</strong> — Super Rare from OP-02 Paramount War (OP02-004).</p><p>Color: Red · Power 10000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Super Rare, OP-02 Paramount War",TRUE,"Title","Default Title","HC-OP02-004",1,"shopify",5,"deny","manual",29.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP02-004.png?260715","Edward.Newgate Super Rare card","active"
"portgas-d-ace-op02-013","Portgas.D.Ace · Super Rare (OP02-013)","<p><strong>Portgas.D.Ace</strong> — Super Rare from OP-02 Paramount War (OP02-013).</p><p>Color: Red · Power 7000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Super Rare, OP-02 Paramount War",TRUE,"Title","Default Title","HC-OP02-013",1,"shopify",5,"deny","manual",29.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP02-013.png?260715","Portgas.D.Ace Super Rare card","active"
"kouzuki-oden-op02-030","Kouzuki Oden · Super Rare (OP02-030)","<p><strong>Kouzuki Oden</strong> — Super Rare from OP-02 Paramount War (OP02-030).</p><p>Color: Green · Power 8000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Super Rare, OP-02 Paramount War",TRUE,"Title","Default Title","HC-OP02-030",1,"shopify",5,"deny","manual",29.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP02-030.png?260715","Kouzuki Oden Super Rare card","active"
"nami-op02-036","Nami · Super Rare (OP02-036)","<p><strong>Nami</strong> — Super Rare from OP-02 Paramount War (OP02-036).</p><p>Color: Green · Power 5000</p><p>Near-mint condition, sleeved and top-loaded before shipping.</p>","Haisuki Collectibles","Trading Card","One Piece, Super Rare, OP-02 Paramount War",TRUE,"Title","Default Title","HC-OP02-036",1,"shopify",5,"deny","manual",29.99,TRUE,TRUE,"https://en.onepiece-cardgame.com/images/cardlist/card/OP02-036.png?260715","Nami Super Rare card","active"
